Professor Name,Professor Profile
Lining Yao,Assistant Professor of Mechanical Engineering
Tarek I. Zohdi,"Associate Dean for Research, College of Engineering
Will C. Hall Endowed Chair
Chair of the UCB Computational & Data Science & Engineering Program
Professor of Mechanical Engineering"
Murat Arcak,"Professor of Mechanical Engineering
Professor of Electrical Engineering"
Saikat Chaudhuri,"Faculty Director, Management, Entrepreneurship, & Technology Program
Faculty Director, Berkeley Haas Entrepreneurship Hub
Grimes M.E.T. Chancellor's Chair
Teaching Professor of Mechanical Engineering, College of Engineering
Teaching Professor of Entrepreneurship & Innovation and Management of Organizations, Haas School of Business"
Peter Hosemann,"Professor of Mechanical Engineering
Professor of Nuclear Engineering
Chair, Department of Nuclear Engineering
E.S. Kuh Chair of Engineering"
Dorian Liepmann,Professor of Mechanical Engineering and BioEngineering
Robert O. Ritchie,"Distinguished Professor of Mechanical Engineering
Professor of Materials Science & Engineering"
S. Shankar Sastry,"Distinguished Professor of Mechanical Engineering
Professor of Electrical Engineering and Computer Sciences"
Somayeh Sojoudi,"Associate Professor-In-Residence of Mechanical Engineering
Associate Professor-In-Residence of EECS"
Alice M. Agogino,"Distinguished Professor of the Graduate School
Product Design Concentration Founder and Head Advisor, MEng Program
Roscoe and Elizabeth Hughes Chair in Mechanical Engineering (7/1/2008-12/31/20221)"
David B. Bogy,"Professor of the Graduate School
Director, Computer Mechanics Laboratory"
Carlos Fernandez-Pello,"Professor of the Graduate School
Almy C. Maynard and Agnes Offield Maynard Endowed Chair (7/1/2009-6/30/2020)"
Boris Rubinsky,Professor of the Graduate School
David M. Auslander,Professor Emeritus of Mechanical Engineering
Jyh-Yuan Chen,Professor Emeritus of Mechanical Engineering
Robert Dibble,Professor Emeritus of Mechanical Engineering
Ralph Greif,Professor Emeritus of Mechanical Engineering
George Johnson,Professor Emeritus of Mechanical Engineering
George Leitmann,"Professor Emeritus of Mechanical Engineering
Professor Emeritus of Engineering Science"
Dennis K. Lieu,Professor Emeritus of Mechanical Engineering
Stephen Morris,Professor Emeritus of Mechanical Engineering
Patrick J. Pagni,Professor Emeritus of Fire Safety Engineering Science
Benson H. Tongue,Professor Emeritus of Mechanical Engineering
Paul K. Wright,Professor Emeritus of Mechanical Engineering
Kazuo Yamazaki,Professor Emeritus of Mechanical Engineering
Ronald W. Yeung,Distinguished Professor Emeritus of Hydromechanics and Ocean Engineering
Xiang Zhang,"Professor Emeritus of Mechanical Engineering
Ernest S. Kuh Endowed Chair, in the Department of Mechanical Engineering (2009-2019)"
George Anwar,Lecturer
Gabriel Gomes,Lecturer
Ala Moradian,Lecturer
K. Youssefi,Lecturer
David Horsley,Adjunct Professor
Samuel Mao,Adjunct Professor
Ravi Prasher,Adjunct Professor
Vassilia Zorba,Associate Adjunct Professor
