Professor Name,Professor Profile
Justin A. Weibel,Professor of Mechanical Engineering
Steven T. Wereley,Professor Of Mechanical Engineering
Benxin Wu,Professor of Mechanical Engineering
Xianfan Xu,"James J. and Carol L. Shuttleworth Professor of Mechanical Engineering, and Professor of Electrical and Computer Engineering (by Courtesy)"
Bin Yao,Professor of Mechanical Engineering
Song Zhang,"Assistant Head for Experiential Learning, and Professor of Mechanical Engineering"
Fu Zhao,Professor of Mechanical Engineering and EEE
Kejie Zhao,Professor of Mechanical Engineering
Davide Ziviani,"Associate Professor of Mechanical Engineering, Associate Director of the Center for High Performance Buildings"
Mikhail Slipchenko,Research Professor
Christopher Finch,Professor of Engineering Practice (Indianapolis)
Beth Hess,Associate Professor of Engineering Practice and Assistant Head of Undergraduate Student Well-Being
Beth M. Holloway,"Senior Assistant Dean for Student Access and Success; Leah H. Jamieson Director of the Women In Engineering Program, College of Engineering; Professor of Engineering Practice"
Eric Holloway,Professor of Engineering Practice
Greg Jensen,Professor of Engineering Practice and Director of Senior Design
Daniel Williams,Professor Of Engineering Practice
Sohel Anwar,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Sally Bane,Associate Professor Of Aeronautics and Astronautics; Associate Professor of Mechanical Engineering (by Courtesy)
Darcy M Bullock,Lyles Family Professor of Civil Engineering and Director of the Joint Transportation Research Program (courtesy appointments in Mechanical Engineering and Electrical and Computer Engineering)
Deva Chan,Assistant Professor In Biomedical Engineering (courtesy in Mechanical Engineering)
Jie Chen,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Carlos Corvalan,Associate Professor Of Food Science; Associate Professor of Mechanical Engineering (by Courtesy)
Hamid Dalir,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Jennifer Deboer,Assistant Professor of Engineering Education; Assistant Professor of Mechanical Engineering (by Courtesy)
Hazim El Mounayri,"Associate Professor of Mechanical Engineering, Purdue University IndianapolisAssociate Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
John Evans,Assistant Professor Of Agricultural And Biological Engineering; Assistant Professor of Mechanical Engineering (by Courtesy)
